Time,Site,Live/Recording,Activity,Studio,"Machine
Type","Machine
Name","Show
Duration",Outlet,"Test
Playlist",Description,Notes
00:00,London - NBH,Recording,Loading for Edit,N/A,Edit,F1-D0N343686,1'00,BBC World,2,Qatar Airways global,
00:00,London - NBH,Recording,Loading for Edit,N/A,Edit,F1-D0N343688,1'30,BBC World and website,2,World Region A (Asia-Pacific),
00:05,London - NBH,Recording,Loading for Edit,N/A,Edit,F1-D0N343689,1'30,BBC World and website,2,World Region B (South and Central Asia),
00:10,London - NBH,Recording,Loading for Edit,N/A,Edit,F1-D0N343690,1'30,BBC World and website,2,World Region C (North America),
00:10,London - NBH,Recording,Loading in Studio,G,Playout,F1-D0N343698,1'30,BBC World and website,2,World Region A (Asia-Pacific),
00:15,London - NBH,Recording,Loading for Edit,N/A,Edit,F1-D0N343691,1'30,BBC World and website,2,World Region D (South and Central America),
00:20,London - NBH,Recording,Loading for Edit,N/A,Edit,F1-D0N343692,1'30,BBC World and website,2,World Region E (Europe),
00:25,London - NBH,Recording,Loading for Edit,N/A,Edit,F1-D0N343693,1'30,BBC World and website,2,World Region F (Middle East and Africa),
00:25,London - NBH,Recording,Loading in Studio,G,Playout,F1-D0N343698,1'30,BBC World and website,2,World Region B (South and Central Asia),
00:40,London - NBH,Recording,Loading in Studio,G,Playout,F1-D0N343698,1'30,BBC World and website,2,World Region C (North America),
00:55,London - NBH,Recording,Loading in Studio,G,Playout,F1-D0N343698,1'30,BBC World and website,2,World Region D (South and Central America),
01:10,London - NBH,Recording,Loading in Studio,G,Playout,F1-D0N343698,1'30,BBC World and website,2,World Region E (Europe),
01:25,London - NBH,Recording,Loading in Studio,G,Playout,F1-D0N343698,1'30,BBC World and website,2,World Region F (Middle East and Africa),
01:40,London - NBH,Recording,Loading in Studio,G,Playout,F1-D0N343698,1'00,BBC World,2,Qatar Airways global,
03:00,London - NBH,Recording,Loading for Edit,N/A,Edit,F1-D0N343687,2'30,BBC One and BBC News,3,Breakfast 2'30 back-up,For emergency use if Salford cannot connect to Studio H or OB truck
03:00,London - NBH,Recording,Loading in Studio,H,Playout,F1-D0N343697,2'30,BBC One and BBC News,3,Breakfast 2'30 back-up,For emergency use if Salford cannot connect to Studio H or OB truck
03:05,London - NBH,Recording,Loading for Edit,N/A,Edit,F1-D0N343688,1'00,BBC One and BBC News,3,Breakfast 1'00 back-up,For emergency use if Salford cannot connect to Studio H or OB truck
03:10,London - NBH,Recording,Loading for Edit,N/A,Edit,F1-D0N343689,0'10,BBC One and BBC News,3,Breakfast headline back-up,For emergency use if Salford cannot connect to Studio H or OB truck
03:15,London - NBH,Recording,Loading for Edit,N/A,Edit,F1-D0N343690,2'30,BBC One and BBC News,3,Breakfast 2'30 OB - graphics only,Only on Breakfast weather OB days. For Salford gallery to play out mixed with OB pictures
03:20,London - NBH,Recording,Loading for Edit,N/A,Edit,F1-D0N343691,1'00,BBC One and BBC News,3,Breakfast 1'00 OB - graphics only,Only on Breakfast weather OB days. For Salford gallery to play out mixed with OB pictures
03:30,London - NBH,Recording,Loading in Studio,H,Playout,F1-D0N343697,1'00,BBC One and BBC News,3,Breakfast 1'00 back-up,For emergency use if Salford cannot connect to Studio H or OB truck
03:50,London - NBH,Recording,Loading in Studio,H,Playout,F1-D0N343697,0'10,BBC One and BBC News,3,Breakfast headline back-up,For emergency use if Salford cannot connect to Studio H or OB truck
04:10,London - NBH,Recording,Loading in Studio,H,Playout,F1-D0N343697,2'30,BBC One and BBC News,3,Breakfast 2'30 OB - graphics only,Only on Breakfast weather OB days. For Salford gallery to play out mixed with OB pictures
04:30,London - NBH,Recording,Loading in Studio,H,Playout,F1-D0N343697,1'00,BBC One and BBC News,3,Breakfast 1'00 OB - graphics only,Only on Breakfast weather OB days. For Salford gallery to play out mixed with OB pictures
05:00,London - NBH,Recording,Loading for Edit,N/A,Edit,F1-D0N343692,Varies,BBC One London,3,London Breakfast + OOV,Also clipped/delivered by presenter or gallery for website
05:05,London - NBH,Recording,Loading for Edit,N/A,Edit,F1-D0N343693,Varies,BBC One Norwich,0,Norwich Breakfast + OOV,Also clipped/delivered by presenter or gallery for website
